# GeoNames feature codes modified to include very rough estimates of typical radii (http://www.geonames.org/export/codes.html) (CC-BY-4.0)
FeatureClass,FeatureCode,FeatureShape,SizeIndex,SizeGeoNames,SizeNaturalEarth,BriefDefinition,FullDefinition
H,AIRS,,1,,,seaplane landing area,a place on a waterbody where floatplanes land and take off
H,ANCH,,1,,,anchorage,an area where vessels may anchor
H,CNFL,,1,,,confluence,a place where two or more streams or intermittent streams flow together
H,CNLB,,1,,,canal bend,a conspicuously curved or bent section of a canal
H,CNLD,,1,,,drainage canal,an artificial waterway carrying water away from a wetland or from drainage ditches
H,CNLSB,,1,,,underground irrigation canal(s),a gently inclined underground tunnel bringing water for irrigation from aquifers
H,CNLX,,32,,,section of canal,
H,CRKT,,1,,,tidal creek(s),a meandering channel in a coastal wetland subject to bi-directional tidal currents
H,CUTF,,1,,,cutoff,a channel formed as a result of a stream cutting through a meander neck
H,DCK,,1,,,dock(s),"a waterway between two piers, or cut into the land for the berthing of ships"
H,DCKB,,1,,,docking basin,a part of a harbor where ships dock
H,DOMG,,1,,,icecap dome,a comparatively elevated area on an icecap
H,DPRG,,1,,,icecap depression,a comparatively depressed area on an icecap
H,DTCH,,1,,,ditch,a small artificial watercourse dug for draining or irrigating the land
H,DTCHD,,1,,,drainage ditch,a ditch which serves to drain the land
H,DTCHI,,1,,,irrigation ditch,a ditch which serves to distribute irrigation water
H,DTCHM,,1,,,ditch mouth(s),"an area where a drainage ditch enters a lagoon, lake or bay"
H,FLLS,,1,,,waterfall(s),a perpendicular or very steep descent of the water of a stream
H,FLLSX,,1,,,section of waterfall(s),
H,GYSR,,1,,,geyser,a type of hot spring with intermittent eruptions of jets of hot water and steam
H,HBRX,,4,,,section of harbor,
H,MFGN,,1,,,salt evaporation ponds,diked salt ponds used in the production of solar evaporated salt
H,OVF,,1,,,overfalls,an area of breaking waves caused by the meeting of currents or by waves moving against the current
H,PND,,1,1.41285499,,pond,a small standing waterbody
H,PNDI,,1,1.440707837,,intermittent pond,
H,PNDN,,1,,,salt pond,"a small standing body of salt water often in a marsh or swamp, usually along a seacoast"
H,PNDSF,,1,,,fishponds,ponds or enclosures in which fish are kept or raised
H,PNDSI,,1,,,intermittent ponds,
H,POOL,,1,,,pool(s),"a small and comparatively still, deep part of a larger body of water such as a stream or harbor; or a small body of standing water"
H,POOLI,,1,,,intermittent pool,
H,RCH,,1,,,reach,a straight section of a navigable stream or channel between two bends
H,RDGG,,1,,,icecap ridge,a linear elevation on an icecap
H,RFX,,4,,,section of reef,
H,RPDS,,1,,,rapids,"a turbulent section of a stream associated with a steep, irregular stream bed"
H,RSVT,,1,,,water tank,"a contained pool or tank of water at, below, or above ground level"
H,SPNG,,1,1.415278437,,spring(s),a place where ground water flows naturally out of the ground
H,SPNS,,1,,,sulphur spring(s),a place where sulphur ground water flows naturally out of the ground
H,SPNT,,1,,,hot spring(s),a place where hot ground water flows naturally out of the ground
H,STMB,,1,,,stream bend,a conspicuously curved or bent segment of a stream
H,STMIX,,4,,,section of intermittent stream,
H,STMX,,32,,,section of stream,
H,TNLC,,1,,,canal tunnel,a tunnel through which a canal passes
H,WADB,,1,,,wadi bend,a conspicuously curved or bent segment of a wadi
H,WADJ,,1,,,wadi junction,a place where two or more wadies join
H,WADM,,1,,,wadi mouth,"the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody"
H,WLL,,1,,,well,"a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface"
H,WTRH,,1,,,waterhole(s),"a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas"
L,AMUS,,1,,,amusement park,"Amusement Park are theme parks, adventure parks offering entertainment, similar to funfairs but with a fix location"
L,CLG,,1,1.414594544,,clearing,an area in a forest with trees removed
L,COLF,,1,,,coalfield,a region in which coal deposits of possible economic value occur
L,CTRB,,1,,,business center,a place where a number of businesses are located
L,DEVH,,1,1.41503801,,housing development,a tract of land on which many houses of similar design are built according to a development plan
L,FLDI,,1,,,irrigated field(s),a tract of level or terraced land which is irrigated
L,GASF,,1,,,gasfield,an area containing a subterranean store of natural gas of economic value
L,MVA,,1,,,maneuver area,a tract of land where military field exercises are carried out
L,NVB,,1,,,naval base,"an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated"
L,OAS,,1,,,oasis(-es),an area in a desert made productive by the availability of water
L,PEAT,,1,,,peat cutting area,an area where peat is harvested
L,QCKS,,1,,,quicksand,"an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink"
L,RNGA,,1,,,artillery range,a tract of land used for artillery firing practice
P,PPLX,,4,4.026082245,,section of populated place,
R,RDB,,1,,,road bend,a conspicuously curved or bent section of a road
R,RDCUT,,1,,,road cut,an excavation cut through a hill or ridge for a road
R,RDJCT,,1,,,road junction,a place where two or more roads join
R,RJCT,,1,,,railroad junction,a place where two or more railroad tracks join
R,RYD,,1,,,railroad yard,"a system of tracks used for the making up of trains, and switching and storing freight cars"
R,TNL,,1,,,tunnel,a subterranean passageway for transportation
R,TNLN,,1,,,natural tunnel,a cave that is open at both ends
R,TNLRD,,1,,,road tunnel,a tunnel through which a road passes
R,TNLRR,,1,,,railroad tunnel,a tunnel through which a railroad passes
S,ADMF,,1,2.823399286,,administrative facility,a government building
S,AGRF,,1,1.41514407,,agricultural facility,a building and/or tract of land used for improving agriculture
S,AIRF,,1,1.1641946,,airfield,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo
S,AIRH,,1,1,,heliport,a place where helicopters land and take off
S,AIRP,,1,1.920118943,,airport,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo"
S,AIRQ,,1,,,abandoned airfield,
S,AMTH,,1,,,amphitheater,an oval or circular structure with rising tiers of seats about a stage or open space
S,ANS,,1,2.829088369,,ancient site,"a place where archeological remains, old structures, or cultural artifacts are located"
S,AQC,,1,,,aquaculture facility,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture"
S,ARCH,,1,,,arch,a natural or man-made structure in the form of an arch
S,ASTR,,1,,,astronomical station,a point on the earth whose position has been determined by observations of celestial bodies
S,ASYL,,1,,,asylum,a facility where the insane are cared for and protected
S,ATHF,,1,,,athletic field,"a tract of land used for playing team sports, and athletic track and field events"
S,ATM,,1,,,automatic teller machine,"An unattended electronic machine in a public place, connected to a data system and related equipment and activated by a bank customer to obtain cash withdrawals and other banking services."
S,BANK,,1,,,bank,"A business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans, or exchanged."
S,BCN,,1,,,beacon,a fixed artificial navigation mark
S,BDG,,1,1.417447415,,bridge,"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across"
S,BDGQ,,1,,,ruined bridge,a destroyed or decayed bridge which is no longer functional
S,BLDG,,1,1.416432433,,building(s),"a structure built for permanent use, as a house, factory, etc."
S,BLDO,,1,,,office building,commercial building where business and/or services are conducted
S,BP,,1,,,boundary marker,a fixture marking a point along a boundary
